run_sample condition sequencer sample
CN3342_sc1_b1_NDC_S47_L004 NDC novaseq NDC_1
CN3342_sc2_b1_NDC_S48_L004 NDC novaseq NDC_2 
CN3342_sc3_b1_NDC_S49_L004 NDC novaseq NDC_3
CN3483_sc3_b1_NDC_S50_L004 NDC novaseq NDC_4
CN3483_sc4_b1_NDC_S51_L004 NDC novaseq NDC_5
CN3483_sc21_b1_NDC_S52_L004 NDC novaseq NDC_6
CN3546_sc1_b2_NDC_S53_L004 NDC novaseq NDC_7
CN3546_sc4_b1_NDC_S54_L004 NDC novaseq NDC_8
CN3546_sc7_b1_NDC_S55_L004 NDC novaseq NDC_9
CN3551_sc3_b2_NDC_S56_L004 NDC novaseq NDC_10
CN3551_sc5_b2_NDC_S57_L004 NDC novaseq NDC_11
CN3551_sc6_b2_NDC_S58_L004 NDC novaseq NDC_12
CN8232_sc1_b2_NDC_S59_L004 NDC novaseq NDC_13
CN8232_sc3_b2_NDC_S60_L004 NDC novaseq NDC_14
CN8232_sc6_b2_NDC_S61_L004 NDC novaseq NDC_15
CN3682_sc2_b1_AD_S62_L004 AD novaseq AD_1
CN3682_sc4_b1_AD_S63_L004 AD novaseq AD_2
CN3682_sc5_b1_AD_S64_L004 AD novaseq AD_3
CN3796_sc5_b1_AD_S65_L004 AD novaseq AD_4
CN3796_sc8_b1_AD_S94_L003 AD novaseq AD_5
CN3796_sc10_b1_AD_S67_L004 AD novaseq AD_6
CN19009_sc15_b2_AD_S68_L004 AD novaseq AD_7
CN19009_sc17_b2_AD_S69_L004 AD novaseq AD_8
CN19009_sc18_b2_AD_S70_L004 AD novaseq AD_9
CN19012_sc2_b2_AD_S95_L003 AD novaseq AD_10
CN19012_sc6_b2_AD_S72_L004 AD novaseq AD_11
CN19012_sc7_b1_AD_S73_L004 AD novaseq AD_12
